age,s5,0-4,05월 09일,10월 14일,15-19,20-29,30-39,40-49,50-59,60-69,70-79,80-,fatotal,month,day,s2ors6,s7
0,,11,2,0,0,5,3,3,7,3,0,0,33,4,15,1,
0,,0,0,0,,,2,,,,,,2,4,17,1,
0,2,0,0,0,,,,,,,,,,,,,1
0,,0.666666667,0.666666667,0,0,0,3,,,,,,4,4,17,1,
0,,0,0,0,0,3,1,1,0,1,0,0,6,4,17,1,
0,,0,0,0,,,1,1,,1,,,3,4,19,1,
0,,0,0,0,,,,1,,,1,,2,4,18,1,
0,,0,0,0,,,1,1,,,,,2,4,19,1,
0,2,0,0,0,,,,,,,,,,,,,1
0,,0,0,0,0,0,1,1,1,1,0,4,8,4,19,1,
0,2,0,0,0,,,,,,,,,,,,,1
0,,13.33333333,13.33333333,0,,10,5,3,3,,,,41,4,21,1,
0,,1,0,0,,1,1,,,1,,,4,4,13,1,
0,,1,0,0,0,2,0,0,0,0,0,0,3,4,13,1,
0,,0,0,0,,,,,,,,,0,4,14,1,
0,,0,0,0,0,0,0,0,0,0,0,0,0,4,14,1,
0,,0,0.666666667,0.333333333,,,2,,,,,,3,4,14,1,
0,2,0,0,0,,,,,,,,,,,,,1
0,,2.666666667,0.666666667,0,,5,,,2,,,,10,4,15,1,
0,,0,0,0,,,,,,,,,0,4,17,1,
0,,0.666666667,0.666666667,0,0,0,1,1,0,0,0,0,3,4,17,1,
0,,0,0.666666667,0.333333333,,,1,1,,,,,3,4,18,1,
0,,0.666666667,0.666666667,0,,,2,,,,,,3,4,18,2,
0,,0,0,0,0,0,0,0,0,0,0,0,0,4,18,1,
0,,0,0,0,,,,,,,,,0,4,18,2,
0,,0.666666667,0.666666667,0,,,4,,,1,,,6,4,19,1,
0,,1,0,0,,,3,,1,1,,,6,4,24,1,
0,,0.666666667,0.666666667,0,0,0,1,0,0,2,0,0,4,4,14,1,
0,,4.666666667,4.666666667,0,0,0,5,0,0,0,0,0,12,4,16,1,
0,,1.333333333,1.333333333,0,,,1,1,,1,1,,6,4,17,1,
0,,1.666666667,0.666666667,0,0,0,2,0,0,0,0,0,4,4,18,1,
0,,1,0.666666667,0.333333333,0,0,2,0,0,0,0,0,4,4,18,1,
0,,0,0,2,0,0,0,2,0,1,0,0,5,4,19,1,
0,,1.666666667,0.666666667,0,,,2,1,,,1,,6,4,19,1,
0,,0.666666667,2,0.666666667,,,2,2,,,,,7,4,14,1,
0,,0.666666667,1.333333333,0.333333333,,,1,,,1,,,4,4,17,1,
0,,36.66666667,28.66666667,1,0,1,50,1,4,5,0,0,114,4,20,1,
0,,2.333333333,1.333333333,0,,,2,,,,2,,7,4,20,1,
1,,0,0,0,0,0,2,0,0,0,0,0,2,4,11,1,
1,,0,0,0,,2,2,,,,,,4,4,13,1,
1,,20,0,0,0,8,5,1,1,0,0,0,35,4,13,1,
1,,5,0,0,,,,,,,,,5,4,14,1,
1,,0,0,0,0,3,0,0,1,0,0,0,4,4,14,1,
1,,0.666666667,0.666666667,0,0,3,0,1,1,0,0,0,6,4,14,1,
