,age,holiday,under4,X5to9,X10to14,X15to19,X20s,X30s,X40s,X50s,X60s,over70
,,,,,,,,,,,,
1,0,0,11,1,0,0,5,3,3,7,3,0
,,,,,,,,,,,,
2,0,0,0,0,0,0,0,2,0,0,0,0
,,,,,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
4,0,0,1,0,0,0,0,3,0,0,0,0
,,,,,,,,,,,,
5,0,0,0,0,0,0,3,1,1,0,1,0
,,,,,,,,,,,,
6,0,0,0,0,0,0,0,1,1,0,1,0
,,,,,,,,,,,,
7,0,0,0,0,0,0,0,0,1,0,0,1
,,,,,,,,,,,,
8,0,0,0,0,0,0,0,1,1,0,0,0
,,,,,,,,,,,,
9,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
10,0,1,0,0,0,0,0,1,1,1,1,4
,,,,,,,,,,,,
11,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
12,0,1,13,7,0,0,10,5,3,3,0,0
,,,,,,,,,,,,
13,0,1,1,0,0,0,1,1,0,0,1,0
,,,,,,,,,,,,
14,0,1,1,0,0,0,2,0,0,0,0,0
,,,,,,,,,,,,
15,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
16,0,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
17,0,1,0,0,1,0,0,2,0,0,0,0
,,,,,,,,,,,,
18,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
19,0,0,3,0,0,0,5,0,0,2,0,0
,,,,,,,,,,,,
20,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
21,0,0,1,0,0,0,0,1,1,0,0,0
,,,,,,,,,,,,
22,0,0,0,0,1,0,0,1,1,0,0,0
,,,,,,,,,,,,
23,0,0,1,0,0,0,0,2,0,0,0,0
,,,,,,,,,,,,
24,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
25,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
26,0,0,1,0,0,0,0,4,0,0,1,0
,,,,,,,,,,,,
27,0,0,1,0,0,0,0,3,0,1,1,0
,,,,,,,,,,,,
28,0,0,1,0,0,0,0,1,0,0,2,0
,,,,,,,,,,,,
29,0,0,5,2,0,0,0,5,0,0,0,0
,,,,,,,,,,,,
30,0,0,1,1,0,0,0,1,1,0,1,1
,,,,,,,,,,,,
31,0,0,2,0,0,0,0,2,0,0,0,0
,,,,,,,,,,,,
32,0,0,1,0,1,0,0,2,0,0,0,0
,,,,,,,,,,,,
33,0,0,0,0,2,0,0,0,2,0,1,0
,,,,,,,,,,,,
34,0,1,2,0,0,0,0,2,1,0,0,1
,,,,,,,,,,,,
35,0,0,1,1,1,0,0,2,2,0,0,0
,,,,,,,,,,,,
36,0,0,1,1,1,0,0,1,0,0,1,0
,,,,,,,,,,,,
