Date,"[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,+)"
2020-07-16,5,4,15,14,120,122,54,48,39,34,23,26,15,13,11,22
2020-07-17,4,4,14,14,114,116,51,46,37,32,22,25,14,13,11,21
2020-07-18,5,5,16,15,127,129,57,51,41,36,25,27,16,14,12,23
2020-07-19,4,3,12,12,97,99,44,39,32,27,19,21,12,11,9,18
2020-07-20,3,3,10,9,79,80,36,32,26,22,15,17,10,9,7,14
2020-07-21,5,4,15,14,120,122,54,48,39,34,23,26,15,13,11,22
2020-07-22,6,5,19,18,154,156,69,62,50,43,30,33,19,17,14,28
2020-07-23,10,9,30,28,173,176,94,84,66,57,47,52,29,26,28,49
2020-07-24,8,7,24,22,137,140,75,67,52,45,38,42,23,20,22,39
2020-07-25,8,8,25,23,143,146,78,70,54,47,39,43,24,21,23,40
2020-07-26,8,8,26,24,149,151,81,72,56,49,41,45,25,22,24,42
2020-07-27,6,6,18,17,104,106,57,51,39,34,28,32,17,16,17,29
2020-07-28,10,9,30,28,173,177,95,84,66,57,47,53,29,26,28,49
2020-07-29,13,12,39,36,222,226,121,108,84,73,61,67,37,33,36,63
2020-07-30,13,12,40,38,232,236,127,113,88,76,64,70,39,35,38,66
2020-07-31,16,15,49,46,282,287,154,137,107,92,77,85,47,42,46,80
2020-08-01,16,15,48,45,275,280,150,134,104,90,75,83,46,41,44,78
2020-08-02,14,13,41,38,237,241,129,115,90,78,65,72,40,35,38,67
2020-08-03,10,9,29,27,168,171,92,82,64,55,46,51,28,25,27,47
2020-08-04,13,12,38,36,221,225,121,108,84,72,60,67,37,33,36,62
2020-08-05,14,13,42,39,242,246,132,118,92,79,66,73,41,36,39,68
2020-08-06,15,14,46,43,265,270,144,129,100,87,72,80,44,40,43,75
2020-08-07,16,15,50,46,286,291,156,139,108,94,78,87,48,43,46,81
2020-08-08,16,14,47,44,273,278,149,133,103,89,75,83,46,41,44,77
2020-08-09,15,14,46,43,266,271,145,130,101,87,73,81,45,40,43,75
2020-08-10,9,8,26,24,150,152,82,73,57,49,41,45,25,22,24,42
2020-08-11,7,7,22,20,124,126,68,60,47,41,34,38,21,19,20,35
2020-08-12,10,9,30,28,174,177,95,84,66,57,47,53,29,26,28,49
2020-08-13,17,16,37,35,147,150,100,89,91,78,66,73,50,45,56,108
2020-08-14,20,18,43,40,169,173,115,103,104,90,76,84,58,51,64,125
2020-08-15,18,17,39,37,154,157,105,94,95,82,69,77,52,47,58,114
2020-08-16,15,14,32,30,127,129,87,77,78,68,57,63,43,38,48,94
2020-08-17,9,9,20,19,79,80,54,48,49,42,35,39,27,24,30,58
2020-08-18,13,12,29,27,113,115,77,69,70,60,51,56,38,34,43,83
2020-08-19,16,15,34,32,135,137,92,82,83,72,61,67,46,41,51,99
2020-08-20,20,19,32,30,149,152,108,97,93,80,80,89,51,46,59,115
2020-08-21,18,16,28,26,131,133,95,85,81,70,70,78,45,40,52,101
2020-08-22,17,16,26,25,124,126,90,80,77,67,67,74,43,38,49,96
2020-08-23,13,12,20,19,93,95,68,60,58,50,50,56,32,29,37,72
2020-08-24,8,8,13,12,62,63,45,40,39,33,33,37,21,19,25,48
2020-08-25,12,11,19,18,90,91,65,58,56,48,48,54,31,28,36,69
2020-08-26,15,14,24,22,113,115,82,73,70,60,61,67,39,35,45,87
2020-08-27,17,16,28,26,110,112,80,72,68,59,53,59,44,39,51,88
2020-08-28,17,16,28,26,110,112,81,72,68,59,53,59,44,39,51,88
2020-08-29,17,16,28,26,107,109,78,70,66,57,52,57,43,38,50,85
2020-08-30,12,11,19,18,76,77,55,50,47,41,37,41,30,27,35,60
2020-08-31,8,8,14,13,54,55,39,35,33,29,26,29,21,19,25,43
2020-09-01,12,12,20,19,79,80,58,52,49,42,38,42,31,28,37,63
2020-09-02,12,11,19,18,74,76,55,49,46,40,36,40,30,27,35,60
2020-09-03,11,10,19,18,69,70,61,54,54,47,43,48,31,28,36,65
2020-09-04,10,9,17,16,61,62,54,48,48,42,38,43,28,25,32,58
2020-09-05,10,9,17,16,63,64,55,50,50,43,39,44,29,26,33,59
2020-09-06,8,7,13,12,47,48,41,37,37,32,29,33,21,19,25,44
2020-09-07,5,4,8,8,30,31,27,24,24,21,19,21,14,12,16,28
2020-09-08,9,8,15,14,54,55,48,43,43,37,34,37,25,22,28,51
2020-09-09,9,8,15,14,53,54,47,42,42,36,33,37,24,22,28,50
2020-09-10,15,14,21,20,74,75,71,64,59,51,44,49,29,26,30,57
2020-09-11,14,13,19,18,67,68,64,57,54,46,40,44,26,24,27,51
2020-09-12,14,13,19,18,67,68,64,58,54,46,40,44,27,24,27,51
2020-09-13,9,9,13,12,46,47,44,39,37,32,27,30,18,16,19,35
2020-09-14,6,5,8,7,28,28,27,24,22,19,16,18,11,10,11,21
