"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055441,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"2",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055441,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"3",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055441,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"4",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055441,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"5",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055441,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"6",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055441,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"7",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055441,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"8",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055441,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"9",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055441,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"10",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055441,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"11",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055441,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"12",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055441,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"13",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055440,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"14",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055440,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"15",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055440,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"16",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055440,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"17",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055440,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"18",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055440,3853391,4489226,4294788,4294120,3630046,2450291,1888275,3346353
"19",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055440,3853391,4489226,4294786,4294120,3630046,2450291,1888275,3346353
"20",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055440,3853391,4489226,4294785,4294120,3630046,2450291,1888275,3346353
"21",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055440,3853391,4489226,4294784,4294120,3630046,2450291,1888275,3346353
"22",1918541,2274890,2241196,2672668,3412056,3580868,3306948,4055440,3853391,4489226,4294784,4294120,3630046,2450291,1888275,3346353
"23",1918541,2274890,2241196,2672668,3412056,3580867,3306948,4055440,3853391,4489226,4294784,4294120,3630046,2450291,1888275,3346353
"24",1918541,2274890,2241196,2672668,3412055,3580866,3306947,4055439,3853391,4489226,4294783,4294120,3630045,2450291,1888275,3346353
"25",1918541,2274890,2241196,2672668,3412055,3580866,3306947,4055438,3853391,4489225,4294782,4294120,3630045,2450291,1888275,3346353
"26",1918541,2274890,2241196,2672668,3412055,3580865,3306947,4055438,3853391,4489224,4294782,4294120,3630045,2450291,1888275,3346353
"27",1918541,2274890,2241196,2672668,3412055,3580865,3306947,4055438,3853391,4489224,4294782,4294120,3630045,2450291,1888275,3346353
"28",1918541,2274890,2241196,2672668,3412055,3580865,3306947,4055438,3853390,4489223,4294782,4294120,3630045,2450291,1888275,3346353
"29",1918541,2274890,2241196,2672668,3412055,3580864,3306947,4055438,3853390,4489222,4294782,4294120,3630045,2450291,1888275,3346353
"30",1918541,2274890,2241196,2672668,3412055,3580864,3306947,4055437,3853390,4489221,4294782,4294120,3630045,2450291,1888275,3346353
"31",1918541,2274890,2241196,2672668,3412055,3580864,3306947,4055437,3853390,4489221,4294782,4294120,3630045,2450291,1888275,3346353
