날짜/나이,80대 이상,70대,60대,50대,40대,30대,20대,10대,0대
2021-01-31,26,20,57,74,46,49,46,20,17
2021-01-30,33,35,73,77,67,50,48,48,27
2021-01-29,43,30,73,88,74,53,47,39,22
2021-01-28,25,33,69,88,80,58,64,47,33
2021-01-27,23,26,68,79,85,72,67,99,40
2021-01-26,19,14,55,60,52,44,65,30,15
2021-01-25,13,17,51,72,46,42,44,138,14
2021-01-24,17,21,61,79,60,50,68,18,18
2021-01-23,23,43,62,85,59,59,49,30,21
2021-01-22,13,17,63,65,52,44,53,21,18
2021-01-21,24,40,61,85,53,50,46,27,15
2021-01-20,21,31,61,76,58,47,56,27,27
2021-01-19,8,31,43,73,72,58,52,27,22
2021-01-18,20,30,49,75,66,53,48,31,17
2021-01-17,39,38,70,87,82,73,74,30,27
2021-01-16,26,42,108,106,79,74,54,60,31
2021-01-15,11,22,91,97,81,70,62,37,42
2021-01-14,29,39,73,99,85,68,61,45,25
2021-01-13,16,47,88,129,83,81,66,28,24
2021-01-12,35,39,74,102,91,59,71,34,32
2021-01-11,31,44,80,79,61,54,47,36,19
2021-01-10,34,49,87,143,94,79,87,56,36
2021-01-09,25,50,80,124,89,91,100,50,32
2021-01-08,37,49,124,125,84,86,92,43,34
2021-01-07,27,58,115,176,155,120,123,55,41
2021-01-06,51,73,148,140,110,106,107,60,45
2021-01-05,26,45,110,128,114,101,102,44,45
2021-01-04,81,69,153,187,172,127,120,71,40
2021-01-03,38,52,117,125,89,77,81,46,32
2021-01-02,49,59,125,160,106,109,111,66,39
2021-01-01,41,80,159,204,154,145,131,74,41
2020-12-31,65,67,174,186,134,132,93,67,49
2020-12-30,69,92,204,198,163,112,116,57,39
2020-12-29,39,76,186,194,174,144,140,52,41
2020-12-28,49,62,129,172,120,114,77,50,35
2020-12-27,41,61,179,191,159,131,111,61,36
2020-12-26,81,90,171,209,178,148,128,80,47
2020-12-25,64,86,214,239,196,171,158,66,47
2020-12-24,54,75,171,183,133,136,128,69,36
2020-12-23,83,96,189,246,144,124,102,62,46
2020-12-22,51,86,132,180,124,104,105,56,31
2020-12-21,54,87,161,195,124,117,97,45,46
2020-12-20,47,79,188,233,153,142,137,71,47
2020-12-19,77,82,176,218,154,112,135,66,33
2020-12-18,66,90,186,225,134,132,123,66,40
2020-12-17,59,85,173,214,141,124,107,55,56
2020-12-16,68,91,191,215,142,104,153,69,45
2020-12-15,86,79,133,151,125,112,100,54,40
2020-12-14,46,49,108,138,120,74,98,54,31
2020-12-13,71,105,183,192,150,109,110,74,36
2020-12-12,68,69,148,174,142,114,97,86,52
2020-12-11,55,63,102,123,102,82,83,44,35
2020-12-10,30,53,115,110,93,111,80,53,37
2020-12-09,32,74,125,126,98,98,66,43,24
2020-12-08,53,57,90,109,83,75,74,33,20
2020-12-07,40,59,99,139,74,75,84,31,14
2020-12-06,42,68,111,123,73,90,72,30,22
2020-12-05,31,50,90,93,78,66,100,52,23
2020-12-04,32,43,93,119,89,82,100,46,25
2020-12-03,6,27,75,95,93,68,104,41,31
2020-12-02,17,23,57,98,79,89,86,43,19
2020-12-01,14,27,43,94,63,67,81,47,15
2020-11-30,26,24,59,87,58,54,60,54,16
2020-11-29,13,26,46,83,69,66,93,36,18
2020-11-28,16,30,82,79,95,78,74,37,13
2020-11-27,26,27,68,117,99,85,86,40,21
2020-11-26,9,28,72,95,93,83,125,57,21
2020-11-25,10,24,46,72,75,61,52,31,11
2020-11-24,7,25,43,60,60,53,67,18,16
2020-11-23,9,17,20,50,49,41,41,21,23
2020-11-22,11,18,32,56,64,47,65,20,17
2020-11-21,6,23,37,56,56,49,108,36,15
2020-11-20,11,28,45,60,59,50,64,35,11
2020-11-19,11,17,44,55,56,46,48,43,23
2020-11-18,21,20,41,55,61,47,47,16,5
2020-11-17,8,18,38,44,36,26,37,12,11
2020-11-16,4,15,53,40,29,27,37,12,6
2020-11-15,5,13,40,49,27,27,26,13,8
2020-11-14,7,7,32,36,29,32,36,14,12
2020-11-13,18,17,28,41,24,19,28,9,7
2020-11-12,4,9,15,25,22,23,26,13,6
2020-11-11,15,19,30,21,12,18,20,5,6
2020-11-10,5,9,15,13,12,13,21,9,3
2020-11-09,9,15,15,19,19,25,15,6,3
2020-11-08,9,24,24,22,22,26,9,4,3
2020-11-07,4,11,13,9,21,15,10,5,1
2020-11-06,5,9,13,28,26,24,24,7,9
2020-11-05,2,6,15,29,23,20,21,8,1
2020-11-04,5,10,23,20,11,25,19,3,2
2020-11-03,1,3,12,14,7,13,17,5,3
2020-11-02,4,8,18,10,19,13,9,9,0
2020-11-01,3,6,15,13,25,19,24,14,0
2020-10-31,10,10,8,26,18,22,21,5,0
2020-10-30,4,6,20,16,19,16,16,9,0
2020-10-29,4,10,25,17,14,23,13,8,0
2020-10-28,5,7,9,20,17,15,20,6,0
2020-10-27,4,4,13,23,14,9,12,7,0
2020-10-26,4,3,11,22,22,5,21,5,0
2020-10-25,4,1,6,9,11,8,10,7,0
2020-10-24,5,5,14,14,9,4,12,7,0
2020-10-23,28,13,26,26,21,18,10,11,0
2020-10-22,8,11,26,24,18,12,18,2,0
2020-10-21,10,5,14,15,18,12,12,4,0
2020-10-20,1,3,9,9,12,7,11,3,0
2020-10-19,9,7,7,13,15,7,13,3,0
2020-10-18,1,8,15,21,14,14,12,4,0
2020-10-17,4,2,17,19,6,16,5,2,0
2020-10-16,2,2,7,8,10,9,7,2,0
2020-10-15,31,11,14,8,11,11,16,3,5
2020-10-14,2,2,8,9,11,11,30,7,4
2020-10-13,1,7,12,13,20,16,21,7,5
2020-10-12,2,8,12,12,16,19,19,2,8
2020-10-11,3,6,6,6,8,14,11,0,4
2020-10-10,4,7,22,11,6,7,11,3,1
2020-10-09,2,4,10,5,6,7,8,11,1
2020-10-08,3,10,11,12,9,7,6,5,6
2020-10-07,5,16,31,28,10,13,8,2,1
2020-10-06,2,4,9,11,2,8,26,8,5
2020-10-05,4,6,14,12,8,9,17,3,0
