V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
2.390914383,1.870553733,2.190843943,2.086670772,2.982007606,2.765857919,2.571307601,2.732720735,2.396191242,2.948495291,3.18662756,3.160305982,3.4956628,3.642665625,3.251496541,10.19548596
2.677444126,2.205850663,2.724377127,2.501621921,3.732290148,3.420722328,3.153054607,3.382222151,3.174293933,3.754582954,3.847846528,4.095594456,4.484291657,4.654082024,3.82942445,13.19422136
3.013834906,2.522230307,3.163534851,2.985468306,4.215146344,3.877426758,3.739946698,3.839880177,3.47859759,4.392195143,4.40219714,4.814222466,4.877012679,5.146516067,4.573631379,14.5675124
3.376915489,2.691086551,3.309486302,3.046755758,4.525587252,4.210869063,3.76887006,4.224591979,3.70261897,4.60446214,4.822124806,5.119582469,5.255937374,5.360462873,4.552856178,15.57702704
3.870115325,2.726136232,3.269172659,3.187316106,4.751747314,4.209467539,3.784399047,4.295070914,3.80870822,4.673730154,4.96297383,5.04515973,5.333885288,5.655847472,4.932854416,15.33705469
3.292678717,2.83917079,3.406944374,3.14189584,4.520089453,4.553787841,3.82986977,4.389144612,3.878420564,4.844480986,5.084798418,5.055207149,5.355027735,5.585149829,4.765705894,15.44698595
3.265642502,2.845405918,3.294802085,3.012619819,4.711029253,4.506482067,4.056266351,4.475608235,3.96638429,4.739782898,4.837254216,5.197978548,5.442371917,5.661777673,4.76508544,15.48831114
3.494700469,2.858636956,3.486215442,3.227594245,4.590279354,4.653395176,3.790015368,4.393395089,3.947045902,4.909595961,4.992410874,5.237630017,5.625239039,5.787193937,4.921400345,15.50772775
3.493338261,2.917103362,3.511077479,3.390101192,4.824320969,4.471495832,4.055926185,4.449964187,3.94878499,4.692200328,4.904186926,5.078751249,5.444679682,5.731323151,5.0921882,15.79237429
3.232069045,2.694151475,3.545926684,3.266097649,4.938153637,4.441347702,3.850611473,4.405362876,4.052696218,4.92318992,4.854956983,4.997425468,5.505339741,5.709808697,4.824358259,15.28704544
3.517311681,2.851346867,3.502910204,3.097946168,4.75986358,4.425283783,4.06001904,4.34674562,3.948137029,4.755240983,4.982206078,5.118616753,5.349887967,5.774754278,4.88151355,15.52981825
3.460579755,2.970735424,3.534446112,2.999867729,4.742465257,4.487024178,4.038415432,4.280812528,3.904827806,4.765685479,5.040977628,5.172650828,5.43951418,5.82612518,5.012982228,15.88334095
3.235184632,3.269844172,3.573066514,3.258695644,4.65521823,4.319949294,3.999477292,4.313302923,3.976277261,4.922030551,5.056672654,5.235152347,5.475279344,5.647945303,4.608426382,15.72434528
3.553612639,2.976365703,3.371986805,3.117621618,4.646513552,4.346463719,4.131897512,4.382671419,3.959058347,4.862613781,4.891598868,5.062606093,5.380829391,5.745173198,4.826021408,15.77121542
3.588560249,3.154049652,3.358118651,3.294476608,4.444580976,4.454447459,4.07121191,4.406027617,3.982819248,4.760028243,4.698479034,5.06206383,5.547900806,5.585426212,4.898267483,16.10710334
3.338682771,3.070185751,3.496554407,3.372221406,4.673711659,4.3593647,4.14710063,4.309507057,3.838210542,4.820916166,4.827612803,5.184887047,5.501615766,5.617162612,5.088427892,15.25901612
3.358316713,2.763739476,3.316624958,3.289431191,4.699038795,4.409237435,3.955026497,4.364220482,3.972782152,4.713749225,4.843573904,5.157232209,5.600987636,5.649259321,4.903036573,15.75721486
3.531872482,3.050469692,3.461274507,3.33205565,4.724899417,4.590418853,4.04191286,4.494406091,3.864205899,4.854306006,4.952621531,5.165566863,5.496642473,5.789016004,4.849871543,15.68196263
3.293219141,2.846408576,3.635346704,3.483495459,4.676247955,4.341792398,3.975568285,4.48665388,3.970104416,4.857555004,4.979844317,5.169195512,5.458795473,5.428655903,4.944399681,15.45570209
3.353931697,3.051696083,3.663957283,3.302215207,4.666909469,4.365484104,4.102982623,4.405385621,3.935353115,4.889023752,5.032297304,5.159442239,5.588859329,5.664808443,4.766219635,15.24783649
3.444845461,2.949098702,3.39803756,3.4427083,4.656109728,4.490756209,4.051680492,4.292056953,3.964040294,4.832036811,4.851950095,5.219171258,5.404820902,5.791050734,4.926024304,15.71997381
3.36733249,2.997512629,3.422032178,3.210871366,4.671451467,4.533527524,4.154729522,4.530593605,3.933837131,4.700007842,5.064074491,5.253035438,5.324478366,5.73278619,4.83839785,15.7941494
3.288007324,3.010786357,3.533678588,3.269172126,4.811111425,4.65694783,4.107242992,4.693805735,3.893647958,4.783269133,5.067691262,5.32403918,5.332856871,5.917484833,4.979802298,16.17721719
3.476042502,2.958382598,3.422856225,3.13039085,4.640286441,4.584410385,4.053840557,4.289368834,4.107427904,4.795541657,5.083824442,5.157639281,5.512382697,5.720271679,4.930290573,15.84824991
3.368234328,2.842050026,3.467215703,3.105329136,4.821956655,4.431767016,3.990234917,4.347064537,4.01891141,4.664908632,4.969974681,5.100279372,5.379729762,5.595912066,4.855680863,15.88245216
3.329326138,2.9270749,3.477791629,3.220934946,4.617687278,4.381759192,3.906654501,4.441168753,4.02051543,4.706359589,5.022610769,5.11404248,5.395210208,5.547663858,4.779795303,15.94219966
3.457818017,2.904711155,3.43246847,3.271902923,4.598433255,4.360398401,4.143543111,4.315916228,4.024126421,4.738023128,4.938288956,5.214799914,5.41184203,5.549144994,4.957515986,15.7299906
3.294874352,2.853138633,3.336313101,3.078376171,4.658744311,4.487964172,4.165819674,4.331706248,3.940466278,4.788362851,4.89721765,5.255415943,5.474494919,5.551508137,4.975313215,15.58441106
3.398820777,2.984923126,3.578691515,3.18499403,4.751542224,4.546412007,4.10069786,4.342078061,3.884640825,4.652027724,5.062445244,5.154085499,5.569186346,5.579705894,4.822821651,15.37746758
3.3332156,2.756410541,3.514735063,3.187297513,4.94918645,4.470721198,4.176588406,4.353901514,4.008848767,4.770259541,5.152460329,5.220633974,5.571072462,5.755499012,4.594929719,15.62267528
3.302538398,3.02404601,3.63058006,3.052757943,4.824333661,4.542927634,3.953760996,4.454882809,3.831689431,4.769751506,5.09442338,5.144110803,5.43847111,5.544301557,4.833630866,15.788715
3.517223483,2.669700344,3.518374988,3.275818646,4.889785923,4.505663324,4.076086857,4.254967255,3.920240156,4.788076248,5.107705911,5.145451361,5.544061914,5.604473297,5.011827833,16.43960814
3.307563359,2.840390902,3.416794056,3.34637521,4.857799372,4.482675307,3.888666535,4.419370798,3.895398748,5.048018904,5.024951115,5.249522535,5.552326951,5.847667828,4.936917291,16.18257709
3.512765969,2.79421243,3.416573614,3.201608972,4.72859348,4.498821495,3.881896312,4.494093733,3.968143787,4.879717175,4.996338548,4.961997095,5.501747437,5.598355187,5.064142502,16.27483917
